INVESTORS,INTRO STRENGTH,SWEET SPOT (RANGE),INVESTMENT LOCATIONS,TOP INVESTMENT CATEGORIES
M,e,t,a, ,t,a,g
"SAVEVIEW
Peter Crane
Luminous Ventures
Venture Partner",n/a,"$2.0M
($1.5M - $2.5M)",Investors in Europe,"Investors in AI, Investors in BioTech, Investors in Chemicals, Investors in Diagnostics (Seed), Investors in Digital Health, Investors in Hardware, Investors in London (Other Lists), Investors in Material Science, Investors in Pharmaceuticals, Investors in Robotics, Investors in Space"
t,o,p,-,d,i,a,g,n,o,s,t,i,c,s,-,s,e,e,d,-,i,n,v,e,s,t,o,r,s
"SAVEVIEW
Tony Fadell
Future Shape
Principal",n/a,"$1M
($100K - $10.0M)","Investors in Europe, Investors in United States","Investors in AgTech, Investors in AutoTech, Investors in Consumer Internet, Investors in Diagnostics (Seed), Investors in FinTech, Investors in IoT, Investors in Pharmaceuticals, Investors in Robotics, Investors in Semiconductors, Investors in TransportationTech"
t,o,p,-,d,i,a,g,n,o,s,t,i,c,s,-,s,e,e,d,-,i,n,v,e,s,t,o,r,s
"SAVEVIEW
Rob Weber
Managing Partner",n/a,"$500K
($350K - $2.0M)","Investors in St. Paul (MN), Investors in Minnesota, Investors in Iowa, Investors in Columbus (OH), Investors in Pittsburgh (PA), Investors in Cincinnati (OH), Investors in Madison (WI), Investors in Fargo (ND), Investors in Detroit (MI), Investors in Chicago (IL), Investors in Indianapolis (IN), Investors in Minneapolis (MN)","Investors in AI, Investors in Consumer Internet, Investors in Data Services, Investors in Diagnostics (Seed), Investors in E-commerce, Investors in Future of Work, Investors in Marketplaces, Investors in Midwest (Other Lists), Investors in Real Estate/PropTech, Investors in SaaS, Investors in Social Networks, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
t,o,p,-,d,i,a,g,n,o,s,t,i,c,s,-,s,e,e,d,-,i,n,v,e,s,t,o,r,s
"SAVEVIEW
Ovid Amadi
RTW Investments
Analyst",n/a,"$1M
($100K - $1M)",Investors in New York (NY),"Investors in BioTech, Investors in Diagnostics (Seed), Investors in Digital Health, Investors in Medical Devices, Investors in New York City (Other Lists)"
t,o,p,-,d,i,a,g,n,o,s,t,i,c,s,-,s,e,e,d,-,i,n,v,e,s,t,o,r,s
