INVESTORS,INTRO STRENGTH,SWEET SPOT (RANGE),INVESTMENT LOCATIONS,TOP INVESTMENT CATEGORIES
"SAVEVIEW
Adeyemi Ajao
Base10 Partners
Managing Partner",n/a,"$2.5M
($500K - $5.0M)",Investors in SF Bay Area (CA),"Investors in AI, Investors in AutoTech (Seed), Investors in Diverse Investors (Other Lists), Investors in Enterprise, Investors in San Francisco Bay Area (Other Lists), Investors in SMB Software"
"SAVEVIEW
TJ Nahigian
Base10 Partners
Managing Partner",n/a,"$2.5M
($500K - $5.0M)",,"Investors in AutoTech (Seed), Investors in Consumer Internet, Investors in Enterprise, Investors in San Francisco Bay Area (Other Lists)"
"SAVEVIEW
Burak Cendek
AutoTech Ventures
Principal",n/a,"$3.0M
($1M - $5.0M)",,"Investors in AI, Investors in AI, Investors in AutoTech (Seed), Investors in AutoTech (Series A), Investors in Enterprise Applications, Investors in Enterprise Applications, Investors in FinTech, Investors in FinTech, Investors in Logistics, Investors in Logistics, Investors in Manufacturing, Investors in Manufacturing, Investors in Mobility, Investors in Mobility, Investors in Robotics, Investors in Robotics, Investors in SaaS, Investors in SaaS, Investors in TransportationTech, Investors in TransportationTech, Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
Richard Jhang
Richard Jhang
Managing Partner",n/a,"$250K
($50K - $1M)","Investors in London, Investors in Boston (MA), Investors in Toronto (Ontario), Investors in Montreal, Investors in New York (NY), Investors in San Francisco (CA)","Investors in AI, Investors in AutoTech (Seed), Investors in Enterprise Applications, Investors in Future of Work, Investors in Robotics, Investors in San Francisco Bay Area (Other Lists), Investors in Space, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
"SAVEVIEW
JC
Jeff Carmody
Agility Capital
Managing Partner",n/a,"$750K
($250K - $2.0M)","Investors in Idaho, Investors in Utah, Investors in Nevada, Investors in Arizona, Investors in Colorado, Investors in Washington, Investors in Oregon, Investors in California","Investors in AutoTech (Seed), Investors in Consumer Health, Investors in Cybersecurity, Investors in Digital Health, Investors in Direct-to-Consumer (DTC), Investors in Enterprise Applications, Investors in Food and Beverage, Investors in Health IT, Investors in IoT, Investors in Los Angeles / Southern California (Other Lists), Investors in Medical Devices"
"SAVEVIEW
Keith Rosema
Madrona Venture Labs
Partner",n/a,"$1M
($100K - $10.0M)",Investors in Seattle (WA),"Investors in AI, Investors in AutoTech (Seed), Investors in BioTech, Investors in FinTech, Investors in Seattle / Portland (Other Lists)"
"SAVEVIEW
Tony Fadell
Future Shape
Principal",n/a,"$1M
($100K - $10.0M)","Investors in Europe, Investors in United States","Investors in AgTech, Investors in AutoTech (Seed), Investors in Consumer Internet, Investors in Diagnostics, Investors in FinTech, Investors in IoT, Investors in Pharmaceuticals, Investors in Robotics, Investors in Semiconductors, Investors in TransportationTech"
"SAVEVIEW
Curtis Spencer
Electric Capital
Partner",n/a,"$1M
($100K - $10.0M)",Investors in San Francisco (CA),"Investors in AutoTech (Seed), Investors in Blockchain, Investors in Cryptocurrency, Investors in San Francisco Bay Area (Other Lists)"
"SAVEVIEW
Khalid AlNasser
Principal",n/a,"$1M
($1M - $1.5M)",,"Investors in AI, Investors in AutoTech (Seed), Investors in Consumer Health, Investors in Consumer Internet, Investors in Cybersecurity, Investors in Digital Health, Investors in Diverse Investors (Other Lists), Investors in FinTech, Investors in IoT, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
